Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2021,myelination (GO:0042552),5/48,9.563812700296008e-06,0.009563812700296,0,0,20.23459812321501,233.86185530878865,PLLP;MAL;SOX10;SIRT2;KLK6
GO_Biological_Process_2021,amyloid precursor protein metabolic process (GO:0042982),3/18,0.00015700387890341518,0.0433708595054319,0,0,34.251724137931035,300.0190737316632,BACE1;ABCG1;KLK6
GO_Biological_Process_2021,central nervous system development (GO:0007417),8/268,0.00020373079206968773,0.0433708595054319,0,0,5.438946638946639,46.22403607665976,GSN;MAL;SOX8;SYNJ2;EML1;SOX10;KLK6;HAPLN2
GO_Biological_Process_2021,oligodendrocyte differentiation (GO:0048709),3/20,0.00021744727153529252,0.0433708595054319,0,0,30.219066937119678,254.85413787677368,SOX8;SOX10;ZNF488
GO_Biological_Process_2021,nervous system development (GO:0007399),10/447,0.00034182603947323137,0.0433708595054319,0,0,4.082043961119392,32.57964439591307,GSN;ERBB3;DPYSL5;APLP1;MAL;SOX8;RAPGEF5;SOX10;KLK6;HAPLN2
GO_Biological_Process_2021,cellular response to indole-3-methanol (GO:0071681),2/5,0.0003469668760434559,0.0433708595054319,0,0,113.26495726495726,902.3005042841952,JUP;CTNNA1
GO_Biological_Process_2021,positive regulation of hippo signaling (GO:0035332),2/5,0.0003469668760434559,0.0433708595054319,0,0,113.26495726495726,902.3005042841952,IQCJ-SCHIP1;SCHIP1
GO_Biological_Process_2021,response to indole-3-methanol (GO:0071680),2/5,0.0003469668760434559,0.0433708595054319,0,0,113.26495726495726,902.3005042841952,JUP;CTNNA1
GO_Biological_Process_2021,peripheral nervous system development (GO:0007422),3/25,0.00042929625268384376,0.0476995836315381,0,0,23.34521943573668,181.00396787593613,ERBB3;SOX8;SOX10
GO_Biological_Process_2021,cellular lipid catabolic process (GO:0044242),3/27,0.000541240697810319,0.0541240697810318,0,0,21.39762931034483,160.94540286771738,FAAH;ENPP2;SIRT2
GO_Biological_Process_2021,glial cell differentiation (GO:0010001),3/29,0.0006703017045323397,0.060936518593849,0,0,19.749668435013263,144.32628416801143,ERBB3;SOX8;SOX10
GO_Biological_Process_2021,cholesterol homeostasis (GO:0042632),4/71,0.0008512986515976968,0.0690209440868442,0,0,10.28630759247242,72.71131158263881,NPC1;LAMTOR1;ABCG1;GPIHBP1
GO_Biological_Process_2021,sterol homeostasis (GO:0055092),4/72,0.0008972722731289748,0.0690209440868442,0,0,10.13452685421995,71.10537279500095,NPC1;LAMTOR1;ABCG1;GPIHBP1
GO_Biological_Process_2021,negative regulation of cell cycle (GO:0045786),4/80,0.0013299961919872,0.0949997279990919,0,0,9.064073226544622,60.02754281666642,CDKN1C;RNF167;RPS6KA2;RHOB
GO_Biological_Process_2021,apical protein localization (GO:0045176),2/10,0.0015312212856459,0.1020814190430659,0,0,42.46367521367522,275.23636354227165,MAL;JAM3
GO_Biological_Process_2021,enteric nervous system development (GO:0048484),2/11,0.0018642217762422,0.1165138610151379,0,0,37.74358974358975,237.21512467017,SOX8;SOX10
GO_Biological_Process_2021,regulation of cholesterol esterification (GO:0010872),2/12,0.0022283786053078,0.1310810944298724,0,0,33.967521367521364,207.42202523321563,LAMTOR1;ABCG1
GO_Biological_Process_2021,intracellular sterol transport (GO:0032366),2/13,0.002623315533574,0.1347708169079993,0,0,30.87801087801088,183.5177850668224,NPC1;ABCG1
GO_Biological_Process_2021,regulation of cellular metabolic process (GO:0031323),3/47,0.0027519526623058,0.1347708169079993,0,0,11.65967868338558,68.73898926829828,LAMTOR1;CNDP1;ABCG1
GO_Biological_Process_2021,cellular response to alcohol (GO:0097306),3/48,0.0029227914836255,0.1347708169079993,0,0,11.4,66.52146390279381,JUP;CTNNA1;GNAI1
GO_Biological_Process_2021,amyloid precursor protein catabolic process (GO:0042987),2/14,0.0030486596286902,0.1347708169079993,0,0,28.303418803418804,163.96321231241305,BACE1;ABCG1
GO_Biological_Process_2021,renal absorption (GO:0070293),2/14,0.0030486596286902,0.1347708169079993,0,0,28.303418803418804,163.96321231241305,GSN;SGK1
GO_Biological_Process_2021,adherens junction organization (GO:0034332),3/49,0.0031000216925557,0.1347708169079993,0,0,11.151611694152924,64.41556949792069,JUP;CTNNA1;JAM3
GO_Biological_Process_2021,membrane organization (GO:0061024),6/242,0.0032843856109009,0.1347708169079993,0,0,4.41990400479976,25.27555551965052,SCARB2;SUN2;TF;NPC1;CNTN2;SYNJ2
GO_Biological_Process_2021,regulation of secretion (GO:0051046),2/15,0.0035040412396079,0.1347708169079993,0,0,26.12491781722551,147.7060618977154,ERBB3;SGK1
GO_Biological_Process_2021,intracellular cholesterol transport (GO:0032367),2/15,0.0035040412396079,0.1347708169079993,0,0,26.12491781722551,147.7060618977154,NPC1;ABCG1
GO_Biological_Process_2021,oligodendrocyte development (GO:0014003),2/16,0.0039890939715308,0.147744221167811,0,0,24.257631257631257,134.00379188110824,SOX10;ZNF488
GO_Biological_Process_2021,carbohydrate derivative transport (GO:1901264),2/18,0.005046763352945,0.1682254450981696,0,0,21.2232905982906,112.25015718571794,PLTP;ABCG1
GO_Biological_Process_2021,high-density lipoprotein particle remodeling (GO:0034375),2/18,0.005046763352945,0.1682254450981696,0,0,21.2232905982906,112.25015718571794,PLTP;ABCG1
GO_Biological_Process_2021,microtubule depolymerization (GO:0007019),2/18,0.005046763352945,0.1682254450981696,0,0,21.2232905982906,112.25015718571794,KIF19;STMN4
GO_Biological_Process_2021,phospholipid transport (GO:0015914),3/59,0.0052396063293077,0.1690195590099272,0,0,9.155634236453205,48.08089478285849,SCARB2;PLTP;ABCG1
GO_Biological_Process_2021,regulation of hippo signaling (GO:0035330),2/20,0.0062188008026864,0.1901895961332488,0,0,18.863247863247864,95.82866034621068,IQCJ-SCHIP1;SCHIP1
GO_Biological_Process_2021,amyloid fibril formation (GO:1990000),3/63,0.0062913782284976,0.1901895961332488,0,0,8.54353448275862,43.30354629945472,BACE1;TSPAN15;GSN
GO_Biological_Process_2021,negative regulation of cell communication (GO:0010648),2/21,0.0068468254607969,0.1901895961332488,0,0,17.869545659019344,89.06128252508024,ERBB3;HHIP
GO_Biological_Process_2021,autonomic nervous system development (GO:0048483),2/21,0.0068468254607969,0.1901895961332488,0,0,17.869545659019344,89.06128252508024,SOX8;SOX10
GO_Biological_Process_2021,regulation of lipoprotein lipase activity (GO:0051004),2/21,0.0068468254607969,0.1901895961332488,0,0,17.869545659019344,89.06128252508024,SORT1;GPIHBP1
GO_Biological_Process_2021,cell-cell junction assembly (GO:0007043),3/66,0.0071570048475432,0.193432563447114,0,0,8.135467980295566,40.18647588846017,JUP;CTNNA1;JAM3
GO_Biological_Process_2021,regulation of steroid metabolic process (GO:0019218),2/23,0.0081851497526784,0.2021537243227288,0,0,16.166056166056165,77.684912265853,LAMTOR1;ABCG1
GO_Biological_Process_2021,protein deacylation (GO:0035601),2/23,0.0081851497526784,0.2021537243227288,0,0,16.166056166056165,77.684912265853,ABHD17B;SIRT2
GO_Biological_Process_2021,regulation of cell motility (GO:2000145),4/133,0.0082378825988742,0.2021537243227288,0,0,5.325783619817998,25.558499150677157,ERBB3;ENPP2;SGK1;RHOB
GO_Biological_Process_2021,phosphatidylinositol-mediated signaling (GO:0048015),3/71,0.0087497109577789,0.2021537243227288,0,0,7.535370182555781,35.708119502491336,ERBB3;PLCL1;SIRT2
GO_Biological_Process_2021,cellular response to catecholamine stimulus (GO:0071870),2/24,0.0088947638702,0.2021537243227288,0,0,15.43045843045843,72.86713818821082,APLP1;SIRT2
GO_Biological_Process_2021,cholesterol efflux (GO:0033344),2/24,0.0088947638702,0.2021537243227288,0,0,15.43045843045843,72.86713818821082,NPC1;ABCG1
GO_Biological_Process_2021,phospholipid catabolic process (GO:0009395),2/24,0.0088947638702,0.2021537243227288,0,0,15.43045843045843,72.86713818821082,GDE1;ENPP2
GO_Biological_Process_2021,negative regulation of signaling (GO:0023057),2/25,0.0096308940378224,0.214019867507166,0,0,14.758825715347454,68.52196932308168,ERBB3;HHIP
GO_Biological_Process_2021,glial cell development (GO:0021782),2/26,0.0103932050776124,0.2241321154335723,0,0,14.143162393162394,64.58620844047488,ZNF488;SOX10
GO_Biological_Process_2021,phospholipid metabolic process (GO:0006644),3/76,0.0105342094253778,0.2241321154335723,0,0,7.017477562588569,31.95146850750636,GDE1;ENPP2;AGPAT4
GO_Biological_Process_2021,glycerophospholipid catabolic process (GO:0046475),2/28,0.0119950440097749,0.2399008801954994,0,0,13.053911900065746,57.74086872140665,GDE1;ENPP2
GO_Biological_Process_2021,protein depolymerization (GO:0051261),2/28,0.0119950440097749,0.2399008801954994,0,0,13.053911900065746,57.74086872140665,GSN;STMN4
GO_Biological_Process_2021,protein localization to cell surface (GO:0034394),2/28,0.0119950440097749,0.2399008801954994,0,0,13.053911900065746,57.74086872140665,GPIHBP1;JAM3
GO_Biological_Process_2021,lipid catabolic process (GO:0016042),2/29,0.0128339164125721,0.2492249567261669,0,0,12.56980056980057,54.749826479600685,LIPE;SIRT2
GO_Biological_Process_2021,heterotypic cell-cell adhesion (GO:0034113),2/30,0.0136976586666234,0.2492249567261669,0,0,12.12026862026862,52.00238049873368,JUP;JAM3
GO_Biological_Process_2021,morphogenesis of an epithelium (GO:0002009),2/30,0.0136976586666234,0.2492249567261669,0,0,12.12026862026862,52.00238049873368,SOX8;SOX10
GO_Biological_Process_2021,protein import (GO:0017038),3/89,0.0160985656278791,0.2492249567261669,0,0,5.952786688051323,24.579205664176676,IPO13;FIS1;GPIHBP1
